ticker,entry_date,exit_date,entry_price,exit_price,pnl_pct,exit_reason
512880,2026-05-01,2026-05-02,1.078,1.078,0.0,filtered_or_rebalanced_to_zero
159995,2026-05-01,2026-05-02,2.073,2.073,0.0,filtered_or_rebalanced_to_zero
512880,2026-05-08,2026-05-09,1.08,1.08,0.0,filtered_or_rebalanced_to_zero
159995,2026-05-08,2026-05-09,2.173,2.173,0.0,filtered_or_rebalanced_to_zero
000977,2026-05-10,2026-05-11,76.48,76.48,0.0,filtered_or_rebalanced_to_zero
512880,2026-05-11,2026-05-12,1.097,1.098,0.0009115770282590585,filtered_or_rebalanced_to_zero
159995,2026-05-11,2026-05-12,2.311,2.311,0.0,filtered_or_rebalanced_to_zero
159915,2026-05-11,2026-05-12,3.8895,3.947,0.014783391181385719,filtered_or_rebalanced_to_zero
688256,2026-05-12,2026-05-13,1225.825,1277.87,0.04245712071462071,filtered_or_rebalanced_to_zero
300394,2026-05-12,2026-05-13,331.92,342.45,0.031724511930585564,filtered_or_rebalanced_to_zero
688981,2026-05-12,2026-05-13,122.52,117.08,-0.04440091413646752,filtered_or_rebalanced_to_zero
603019,2026-05-12,2026-05-13,97.46,98.03999999999999,0.005951159450030774,filtered_or_rebalanced_to_zero
688041,2026-05-13,2026-05-14,349.19,325.2,-0.06870185285947483,filtered_or_rebalanced_to_zero
159995,2026-05-13,2026-05-15,2.384,2.321,-0.026426174496644195,filtered_or_rebalanced_to_zero
603019,2026-05-14,2026-05-15,99.15,95.58500000000001,-0.035955622793746866,filtered_or_rebalanced_to_zero
688981,2026-05-15,2026-05-16,117.9,119.02,0.009499575911789515,filtered_or_rebalanced_to_zero
002837,2026-05-15,2026-05-16,102.2,100.49,-0.016731898238747656,filtered_or_rebalanced_to_zero
688808,2026-05-17,2026-05-18,1170.0,1344.99,0.14956410256410257,filtered_or_rebalanced_to_zero
603019,2026-05-18,2026-05-19,96.805,98.26,0.015030215381436784,filtered_or_rebalanced_to_zero
601138,2026-05-19,2026-05-20,68.72,68.15,-0.00829452852153656,filtered_or_rebalanced_to_zero
512880,2026-05-20,2026-05-22,1.056,1.037,-0.01799242424242431,filtered_or_rebalanced_to_zero
159995,2026-05-19,2026-05-22,2.344,2.477,0.056740614334471084,filtered_or_rebalanced_to_zero
159915,2026-05-21,2026-05-22,3.972,3.946,-0.00654582074521648,filtered_or_rebalanced_to_zero
600183,2026-05-23,2026-05-24,108.01,108.01,0.0,filtered_or_rebalanced_to_zero
300499,2026-05-23,2026-05-25,45.31,45.82,0.01125579342308547,filtered_or_rebalanced_to_zero
002463,2026-05-24,2026-05-25,114.07,122.54,0.07425265188042451,filtered_or_rebalanced_to_zero
300308,2026-05-25,2026-05-26,1046.21,1093.0,0.044723334703357764,end_of_sample
300476,2026-05-25,2026-05-26,383.5,383.5,0.0,end_of_sample
601138,2026-05-25,2026-05-26,68.69,70.3,0.02343863735623808,end_of_sample
688041,2026-05-24,2026-05-26,312.4,329.68,0.05531370038412309,end_of_sample
